1002,Alabama Agri. & Mech. Univ.,AL,1,*,*,*,17,*,*,*,*,14,17,2817,1920,984,*,*,3958,305,1700,3400,2550,1108,1442,155,500,850,53,53,14.3,*,7043,40
1003,Faulkner University,AL,2,*,*,*,20,*,*,*,*,*,*,345,320,179,*,27,1367,578,5600,5600,3250,1550,1700,300,350,*,52,56,32.8,*,3971,55
1004,University of Montevallo,AL,1,*,*,*,21,*,*,*,*,18,23,1351,892,570,18,78,2385,331,2220,4440,3030,*,*,124,300,600,72,72,18.9,8,5883,51
1005,Alabama State University,AL,1,*,*,*,*,*,*,*,*,*,*,4639,3272,1278,*,*,4051,405,1500,3000,1960,1960,*,84,500,*,48,53,18.7,*,*,15
1009,Auburn University-Main Campus,AL,1,575,501,1076,24,520,638,453,559,21,27,7548,6791,3070,25,57,16262,1716,2100,6300,3933,*,*,*,600,1908,85,91,16.7,18,6642,69
1012,Birmingham-Southern College,AL,2,575,525,1100,26,470,680,460,650,23,29,805,588,287,67,88,1376,207,11660,11660,4325,2050,2430,120,400,900,74,79,14.0,34,8649,72
1016,University of North Alabama,AL,1,*,*,*,*,*,*,*,*,*,*,1087,702,625,*,40,3772,1034,1704,2970,2536,1336,1200,20,500,*,62,68,19.4,5,4944,76
1019,Huntingdon College,AL,2,513,446,959,23,480,570,400,530,20,24,608,520,127,26,47,538,126,8080,8080,3920,1380,2540,100,500,1100,63,72,11.4,9,7703,44
1020,Jacksonville State University,AL,1,*,*,*,20,*,*,*,*,17,22,1627,1413,887,*,*,5160,1475,1740,2610,2600,1030,1570,85,570,1500,66,67,20.1,6,4604,33
1023,Judson College,AL,2,*,*,*,22,*,*,*,*,19,24,313,228,137,10,30,552,67,5780,5780,3600,*,*,*,*,*,70,70,17.9,27,5159,43
1024,Livingston University,AL,1,*,*,*,19,*,*,*,*,16,21,1206,957,444,*,*,1627,132,1740,1740,2449,1162,1287,243,570,2100,58,58,18.8,4,4272,36
1028,Miles College,AL,2,*,*,*,*,*,*,*,*,*,*,686,427,242,*,*,746,123,4000,4000,2700,1250,1450,*,600,1000,35,*,16.7,2,4455,15
1029,University of Mobile,AL,2,*,*,*,22,*,*,*,*,*,*,452,331,269,17,54,1417,301,6150,6150,3680,*,*,70,550,1200,59,63,16.6,4,5412,52
1033,Oakwood College,AL,2,382,378,760,17,*,*,*,*,*,*,949,605,385,*,*,1316,135,6639,6639,3999,*,*,368,600,2500,52,52,14.5,12,7986,*
1036,Samford University,AL,2,*,*,*,*,485,585,445,545,22,28,1680,1395,691,34,76,2959,402,8236,8236,3700,3700,*,*,569,1650,74,75,14.7,17,9533,61
1041,Spring Hill College,AL,2,525,480,990,24,480,550,430,520,22,26,773,694,230,*,*,942,224,11478,11478,4788,2450,2338,645,500,900,80,89,14.4,23,8594,70
1044,Stillman College,AL,2,*,*,*,*,*,*,*,*,*,*,629,614,248,*,*,866,22,4460,4460,2754,1683,1071,100,600,1000,47,47,14.3,*,5031,47
1046,Talladega College,AL,2,*,*,*,*,*,*,*,*,*,*,4414,1500,335,30,60,908,119,5666,5666,2964,1424,1540,418,1000,1400,56,58,15.5,7,5970,46
1047,Troy State University at Troy,AL,1,510,470,980,20,350,480,380,550,18,24,1471,1281,824,18,67,4343,990,1697,2883,2570,1450,1120,75,300,*,50,50,23.0,*,4295,48
1050,Tuskegee University,AL,2,*,*,*,*,*,*,*,*,*,*,2267,1827,611,20,59,2825,144,6735,6735,3395,3395,*,*,600,1425,70,74,12.2,7,10872,65
1051,University of Alabama at Tuscaloosa,AL,1,*,*,*,23,*,*,*,*,20,25,7593,5972,2682,*,57,13780,1599,2172,5424,3530,1600,1930,*,580,1654,80,91,17.3,29,6426,50
1052,University of Alabama at Birmingham,AL,1,*,*,*,21,*,*,*,*,18,24,1797,1260,938,24,35,6960,4698,2220,4440,5175,1935,3240,291,750,2200,96,96,6.7,16,16352,33
1055,University of Alabama at Huntsville,AL,1,542,468,1010,24,470,610,390,530,21,26,1376,957,445,*,57,2727,3394,2480,4960,3500,2500,1000,*,600,2100,83,88,12.7,12,8863,38
1057,University of South Alabama,AL,1,*,*,*,23,*,*,*,*,19,24,2328,2110,1047,*,*,7516,2943,2208,3108,2850,1530,1320,183,480,1470,80,80,13.3,*,8667,43
1061,Alaska Pacific University,AK,2,490,482,972,20,440,530,430,550,18,22,193,146,55,16,44,249,869,7560,7560,4120,1620,2500,130,800,1500,76,72,11.9,2,10922,15
1063,University of Alaska at Fairbanks,AK,1,499,462,961,22,*,*,*,*,*,*,1852,1427,928,*,*,3885,4519,1742,5226,3590,1800,1790,155,650,2304,67,*,10.0,8,11935,*
1065,University of Alaska Southeast,AK,1,*,*,*,*,*,*,*,*,*,*,146,117,89,4,24,492,1849,1742,5226,4764,2514,2250,34,500,1162,39,51,9.5,*,9584,39
1074,Grand Canyon University,AZ,2,485,441,926,22,420,550,380,500,19,24,497,393,169,*,*,1364,454,6870,6870,3100,*,*,370,400,1125,56,60,14.2,*,6219,81
1081,Arizona State University Main campus,AZ,1,521,453,974,23,450,590,390,500,20,25,12809,10308,3761,24,49,22593,7585,1828,7434,4850,*,*,66,700,2100,88,93,18.9,5,4602,48
1082,Northern Arizona University,AZ,1,495,444,939,22,420,560,380,500,19,24,5891,4931,1973,23,48,11249,2682,1828,6746,3728,1890,1838,66,620,2342,78,83,21.7,7,6157,41
1083,University of Arizona,AZ,1,526,462,983,23,450,600,400,520,20,26,14079,12238,4529,29,57,21664,4894,1828,7434,4216,2186,2030,66,620,2550,91,95,19.6,*,9683,49
1085,University of Arkansas at Monticello,AR,1,*,*,*,*,*,*,*,*,*,*,826,794,662,*,*,4539,357,1536,3552,2310,840,1470,84,500,2800,54,54,42.6,*,2033,*
1086,University of Arkansas at Pine Bluff,AR,1,368,326,694,16,*,*,*,*,*,*,1450,1360,744,*,*,2993,1020,1392,3216,2328,2328,*,143,450,*,47,48,16.2,*,4618,*
