1002,Alabama Agri.&Mech. Univ.,AL,IIA,442,369,310,350,530,444,376,423,59,77,102,24,262
1004,University of Montevallo,AL,IIA,441,385,310,388,542,473,383,477,57,33,35,2,127
1008,Athens State College,AL,IIB,466,394,351,396,558,476,427,478,20,18,30,0,68
1009,Auburn University- Main,AL,I,580,437,374,455,692,527,451,546,366,354,301,66,1109
1012,Birmingham Southern College,AL,IIB,498,379,322,401,655,501,404,523,34,25,27,3,89
1016,Univ. of North Alabama,AL,IIB,506,412,359,411,607,508,445,503,67,40,66,27,200
1019,Huntingdon College,AL,IIB,339,303,287,301,421,371,347,366,8,15,19,2,44
1020,Jacksonville State Univ.,AL,IIA,461,389,338,386,585,496,436,493,106,42,66,58,272
1024,Livingston University,AL,IIB,360,304,258,300,433,369,313,363,27,25,33,4,89
1029,University of Mobile,AL,IIB,354,321,277,291,436,401,346,363,17,19,31,19,86
1033,Oakwood College,AL,IIB,301,290,283,290,375,363,355,362,18,28,28,3,77
1036,Samford University,AL,IIA,565,425,363,449,710,556,476,578,83,46,77,9,215
1041,Spring Hill College,AL,IIB,431,352,311,373,518,425,374,449,23,17,14,1,55
1044,Stillman College,AL,IIB,321,288,251,272,388,354,312,335,13,18,18,10,59
1047,Troy State University-Main,AL,IIA,462,385,322,350,560,467,392,426,25,59,100,19,204
1050,Tuskegee University,AL,IIA,410,352,306,327,487,415,362,387,57,65,85,45,254
1051,University of Alabama,AL,I,605,447,382,463,746,563,483,580,267,206,206,76,762
1052,Univ. Alabama at Birmingham,AL,I,633,445,366,461,786,569,475,587,106,163,107,19,406
1055,Univ. Alabama in Huntsville,AL,IIA,636,443,375,451,771,540,455,548,72,87,98,7,282
1057,University of South Alabama,AL,IIA,542,426,370,418,645,514,450,504,119,103,142,64,434
1061,Alaska Pacific University,AK,IIB,454,382,362,382,567,485,471,487,6,11,9,4,32
1063,Univ.Alaska-Fairbanks,AK,I,686,560,432,508,914,753,572,677,74,125,118,40,404
1065,Univ.Alaska-Southeast,AK,IIA,533,494,329,415,716,663,442,559,9,26,20,9,70
1074,Grand Canyon University,AZ,IIB,358,328,274,299,439,395,332,363,20,18,24,12,74
1081,Arizona State University,AZ,I,603,449,399,489,723,549,489,593,576,445,251,7,1383
1082,Northern Arizona University,AZ,I,511,422,359,412,619,518,446,507,173,192,175,33,608
1083,University of Arizona,AZ,I,648,462,411,537,771,561,498,645,647,377,272,2,1349
1085,Univ. Ark. at Monticello,AR,IIB,453,363,330,349,561,448,402,428,23,24,48,22,117
1086,Univ. Arkansas at Pine Bluff,AR,IIB,406,366,332,335,505,457,415,419,40,33,71,46,192
1088,Arkansas College (Lyon College),AR,IIB,499,*,330,399,618,*,402,488,14,5,21,2,42
1089,Arkansas Tech University,AR,IIB,439,381,337,374,550,479,427,471,44,71,52,13,180
1090,Arkansas State Univ.-Main,AR,IIA,520,433,342,398,646,541,431,498,103,87,141,63,394
1092,Univ. of Central Arkansas,AR,IIA,521,416,339,395,632,507,416,482,93,89,82,76,340
1094,University of the Ozarks,AR,IIB,309,280,274,285,428,383,376,391,14,9,15,2,40
1098,Henderson State University,AR,IIB,447,375,341,375,561,480,435,477,55,42,33,25,155
1099,Hendrix College,AR,IIB,485,399,362,421,664,534,453,562,24,26,14,1,65
1100,John Brown University,AR,IIB,372,338,304,341,478,414,375,426,23,22,10,3,58
1101,Univ. Ark. at Little Rock,AR,IIA,536,416,372,415,651,506,450,504,128,117,72,63,398
1102,Ouachita Baptist University,AR,IIB,422,355,289,342,529,445,375,435,36,14,28,19,97
1106,Williams Baptist College,AR,IIB,*,*,264,266,*,*,327,331,4,4,12,4,24
1107,Southern Ark. Univ.-Main,AR,IIA,461,389,321,362,575,484,402,453,27,31,34,23,115
1108,Univ. Arkansas-Fayetteville,AR,I,563,436,379,452,686,531,461,550,314,198,225,54,806
1117,Azusa Pacific University,CA,IIA,430,375,318,368,573,494,428,488,43,62,32,12,156
1122,Biola University,CA,IIA,455,369,303,370,582,462,371,464,32,57,31,6,126
1131,California Inst. of Tech.,CA,I,970,733,576,866,1204,909,717,1075,173,40,44,0,257
1133,California Lutheran Univ.,CA,IIB,477,392,335,398,600,501,433,507,32,21,33,6,92
